Datetime,district_cooling-cooling,district_heating,district_heating-water_systems,electricity-cooling,electricity-exterior_lighting,electricity-fans,electricity-heat_recovery,electricity-heat_rejection,electricity-heating,electricity-interior_equipment,electricity-interior_lighting,electricity-pumps,electricity-refrigeration,electricity-water_systems,natural_gas-heating,natural_gas-interior_equipment,natural_gas-water_systems,district_cooling-total_energy_consumption,district_heating-total_energy_consumption,electricity-total_energy_consumption,natural_gas-total_energy_consumption,other_fuel-heating,other_fuel-water_systems,other_fuel-total,site_energy-total,TMP_F
2018-01-03 02:00:00+00:00,655.8317576,17645.99994,1810.656498,10439.31561,94455.6775,165794.5587,3568.281437,18.57240758,347154.0555,280333.6913,180413.174,5955.955214,6381.276733,54103.15685,820903.8939,186223.9449,58725.74502,655.8317576,19456.65644,1148617.715,1065853.584,143422.4289,7314.254396,150736.6833,2385320.487,12.9
2018-01-03 03:00:00+00:00,638.6709523,12889.59363,1587.330136,10209.26522,94455.6775,147118.7462,2609.610253,18.66989976,279614.1799,266596.4004,145950.2481,5629.861519,6342.130508,42948.49759,693301.8723,138910.1922,46123.19644,638.6709523,14476.92376,1001493.287,878335.2609,117896.4156,6001.542733,123897.9583,2018842.116,14.0
2018-01-03 04:00:00+00:00,665.8975683,12014.34139,1033.532457,9861.651902,94455.6775,142432.7821,2732.971185,18.65621697,294628.115,256601.8534,104702.1056,5660.989397,5725.872419,32241.57491,684299.2752,87359.72178,33055.4554,665.8975683,13047.87385,949062.2497,804714.4524,118629.0929,4285.584197,122914.6771,1890405.165,12.0
2018-01-03 05:00:00+00:00,632.6299207,12264.23522,840.7675068,9931.133838,94455.6775,141940.7209,2813.451911,18.66942833,311936.3948,249038.8927,82474.6515,5781.386164,5713.791138,23262.01464,706351.939,44738.99134,24211.73756,632.6299207,13105.00273,927366.7845,775302.6679,122497.7542,3199.47477,125697.2289,1842104.327,12.0
2018-01-03 06:00:00+00:00,616.634359,12586.39331,382.7498308,9715.554503,93365.60959,128394.374,2918.889321,17.62204954,315787.4328,244518.164,73872.94151,5467.36439,5701.986238,16547.55383,701476.2075,29794.64663,15851.8373,616.634359,12969.14314,896307.4922,747122.6914,122737.5335,1829.153643,124566.6871,1781582.661,10.9
2018-01-03 07:00:00+00:00,671.8792692,11431.23102,298.8874429,9007.474403,93365.60959,126002.0289,2687.784577,17.47581509,306543.825,243632.5849,69889.74369,5531.137403,5681.10631,13586.86815,688231.9972,29848.19905,13035.43942,671.8792692,11730.11847,875945.6387,731115.6356,119368.6078,1506.74617,120875.354,1740338.639,10.9
2018-01-03 08:00:00+00:00,670.8924786,11966.62377,264.5749807,9536.567275,93365.60959,129104.1045,2862.873122,17.81098021,329910.9507,240367.0054,69608.48115,5812.050686,5629.128791,13200.01664,721473.9196,30057.75122,13121.5784,670.8924786,12231.19875,899414.5989,764653.2492,125160.4413,1459.574875,126620.0162,1803589.969,10.9
2018-01-03 09:00:00+00:00,593.9956025,13330.01438,324.3689573,9282.052468,93365.60959,137482.3821,2827.563489,18.03244074,358878.4577,236811.099,73099.50315,5703.435329,5506.299814,16703.88398,789196.5372,30651.29097,17007.56981,593.9956025,13654.38334,939678.319,836855.398,134005.1719,1813.473164,135818.645,1926600.755,10.0
2018-01-03 10:00:00+00:00,652.9308702,13691.25639,307.8070761,9154.296699,93365.60959,147158.0082,3086.344801,18.60422594,398867.298,237440.9595,84065.48364,5839.259453,5339.840492,22504.26536,866287.5387,44856.39116,24506.71342,652.9308702,13999.06347,1006839.97,935650.6432,152721.9416,2673.257831,155395.1994,2112537.822,3.9
2018-01-03 11:00:00+00:00,582.2697458,18158.02651,388.1654412,10208.67085,93365.60959,181646.6552,3810.351047,21.02336936,485084.4929,247588.3654,108569.7225,6322.019974,5244.927462,31261.74805,1049274.365,85253.20918,35083.19345,582.2697458,18546.19195,1173123.586,1169610.768,188796.45,3610.038182,192406.4881,2554269.321,5.0
